aboard prep./adv.
acceptable adj.
accurate adj.
ache n./v.
achieve v.
achievement n.
additional adj.
admire v.
advanced adj.
advantage n.
adventure n.
advise v.
adviser n.
advisor n.
afford v.
afterward adv.
afterwards adv.
agriculture n.
airline n.
alley n.
almond n.
alphabet n.
amaze v.
amazement n.
ambassador n.
ambition n.
ambulance n.
angel n.
announce v.
announcement n.
anxious adj.
anyhow adv.
apart adv.
apologize v.
appeal n./v.
approve v.
apron n.
armed adj.
arrest n./v.
ash n.
aside adv.
assist v.
assistant n.
assume v.
athlete n.
attitude n.
attract v.
attractive adj.
audience n.
automatic adj.
automobile n.
auto n.
avenue n.
awake adj./v.
awaken v.
award n./v.
aware adj.
awful adj.
awkward adj.
background n.
bacon n.
bacteria n.
badly adv.
baggage n.
bait n./v.
bamboo n.
bang n./v./adv.
banker n.
bare adj./v.
barely adv.
barn n.
barrel n.
basement n.
bay n.
bead n.
beam n./v.
beast n.
beetle n.
beneath prep.
benefit n./v.
berry n.
besides adv./prep.
bet v./n.
bind v.
bitter adj.
bleed v.
bless v.
bloody adj.
blouse n.
bold adj.
bomb n./v.
bookcase n.
boot n./v.
bore v./n.
bowling n.
brake n./v.
brass n./adj.
bravery n.
breast n.
breath n.
breathe v.
breeze n./v.
brick n.
bride n.
broadcast n./v.
brunch n.
bubble n./v.
bucket n.
bud n./v.
budget n./v.
buffalo n.
buffet n.
bulb n.
bull n.
bullet n.
bump n./v.
bunch n.
bundle n.
bury v.
bush n.
buzz n./v.
cabin n.
cable n./v.
cafeteria n.
campus n.
canyon n.
capable adj.
captain n.
capture v./n.
career n.
carpenter n.
carpet n./v.
carriage n.
cart n./v.
cast v./n.
casual adj.
cattle n.
cave n./v.
champion n.
charm n./v.
chat n./v.
cheek n.
cheerful adj.
cherry n./adj.
chest n.
chill n./v./adj.
chilly adj.
chimney n.
chin n.
chip n./v.
chop n./v.
cigarette n.
cinema n.
circus n.
citizen n.
civil adj.
clay n.
cleaner n.
client n.
clinic n.
clip n./v.
closet n.
clothe v.
clown n./v.
clue n.
coach n./v.
cock n.
cocktail n.
coconut n.
collar n.
collection n.
colony n.
colorful adj.
column n.
comfort n./v.
comma n.
committee n.
communicate v.
comparison n.
compete v.
complain v.
complaint n.
concert n.
conclusion n.
cone n.
confirm v.
confuse v.
connect v.
conscious adj.
considerable adj.
constant adj./n.
continent n.
controller n.
cooker n.
costly adj.
cotton n.
cough n./v.
countable adj.
county n.
crab n.
cradle n./v.
crane n./v.
crash n./v.
crawl v./n.
creative adj.
creator n.
creature n.
credit n./v.
crew n.
cricket n.
criminal adj./n.
crispy adj.
crop n./v.
crown n./v.
cruel adj.
cupboard n.
dairy n.
dam n./v.
dare aux./v.
darling n./adj.
dash n./v.
database n.
dawn n./v.
dealer n.
decade n.
deck n.
decorate v.
decrease v./n.
deed n.
deepen v.
definition n.
democracy n.
democratic adj.
deposit n./v.
designer n.
desirable adj.
desire n./v.
dessert n.
destroy v.
detect v.
determine v.
devil n.
dim adj./v.
dime n.
dine v.
dinosaur n.
dip v./n.
dirt n.
discount n./v.
dishonest adj.
disk n.
disc n.
dislike v./n.
ditch n./v.
dive n./v.
dizzy adj.
dock n./v.
dolphin n.
donkey n.
dose n./v.
doubtful adj.
doughnut n.
downtown adj./adv./n.
drag v./n.
dragonfly n.
drain v./n.
dramatic adj.
drip n./v.
drown v.
drugstore n.
drunk adj./n.
dumb adj.
dump v./n.
dumpling n.
dust n./v.
eager adj.
echo n./v.
edit v.
editor n.
educate v.
educational adj.
efficient adj.
elbow n./v.
elderly adj.
elect v./adj.
election n.
electricity n.
electronic adj.
element n.
elevator n.
emergency n.
emotional adj.
emperor n.
enable v.
energetic adj.
engage v.
engagement n.
enjoyable adj.
entry n.
envy n./v.
erase v.
excellence n.
exchange n./v.
exhibition n.
expectation n.
experiment n./v.
explode v.
explore v.
export n./v.
expressive adj.
extreme adj./n.
fade v.
faint adj./v./n.
fairly adv.
fairy n./adj.
faith n.
fake adj./v./n.
familiar adj.
fancy adj./n./v.
fare n.
farther adv./adj.
fashionable adj.
faucet n.
fearful adj.
feather n.
fence n.
fighter n.
firework n.
fist n./v.
flame n./v.
flash n./v.
flashlight n.
flavor n./v.
flesh n.
float v./n.
flock n./v.
flood n./v.
flour n.
flute n.
foggy adj.
fold v./n.
follower n.
fond adj.
forever adv.
fortune n.
fountain n.
frank adj.
freeze v./n.
freezer n.
frequent adj./v.
fright n.
frighten v.
fuel n./v.
fund n./v.
fur n.
gallon n.
gamble n./v.
gang n./v.
gap n.
garage n.
gasoline n.
gas n.
geography n.
gesture n./v.
glance n./v.
global adj.
glory n.
glow n./v.
golf n./v.
gossip n./v.
governor n.
grab v./n.
graduate n./v.
grasp v./n.
grasshopper n.
grassy adj.
greedy adj.
greenhouse n.
grin n./v.
grocery n.
guidance n.
gum n.
hairdresser n.
hallway n.
hammer n./v.
handful n.
handkerchief n.
handy adj.
hanger n.
harbor n./v.
harm n./v.
harmful adj.
harvest n./v.
hasty adj.
hatch n./v.
hateful adj.
hay n.
headline n./v.
headquarters n.
heal v.
heap n./v.
heater n.
heel n./v.
hell n.
helmet n.
hesitate v.
hint n./v.
hire v./n.
historian n.
historic adj.
holder n.
hollow adj./n./v.
holy adj.
homesick adj.
hometown n.
honesty n.
honor n./v.
hopeful adj.
horn n.
horrible adj.
horror n.
hourly adj./adv.
housekeeper n.
hug n./v.
hum v.
humid adj.
humor n.
humorous adj.
hunger n.
hut n.
icy adj.
imagination n.
immediate adj.
import n./v.
impress v.
indoor adj.
indoors adv.
industrial adj.
inferior adj./n.
inform v.
information n.
injury n.
inn n.
inner adj.
innocent adj.
inspect v.
inspector n.
intelligent adj.
interrupt v.
invent v.
inventor n.
investigate v.
invitation n.
ivory n./adj.
jail n./v.
jar n.
jaw n.
jazz n.
jealous adj.
jeep n.
jelly n.
jet n./v.
jewel n.
jewelry n.
journey n./v.
joyful adj.
juicy adj.
jungle n.
junior adj./n.
junk n./v.
kangaroo n.
keyboard n.
kidney n.
kilometer n.
kindergarten n.
kingdom n.
kit n.
knight n.
knit v./n.
knot n./v.
koala n.
label n./v.
lace n./v.
ladder n.
lately adv.
laughter n.
laundry n.
lawn n.
leak n./v.
leap n./v.
learning n.
leather n.
leisure n.
lemonade n.
leopard n.
lettuce n.
liberty n.
lick v./n.
lifetime n.
lighthouse n.
lightning n.
lily n.
limb n.
litter n./v.
lively adj.
loaf n.
lobby n.
locate v.
location n.
lock n./v.
log n./v.
lollipop n.
loose adj.
lord n.
loser n.
lover n.
luggage n.
lung n.
magical adj.
magician n.
magnet n.
maid n.
majority n.
mall n.
mankind n.
humankind n.
marble n.
march n./v.
marker n.
marvelous adj.
mathematical adj.
mayor n.
meadow n.
meaningful adj.
meanwhile n./adv.
medal n.
medium n.
media n.
melon n.
melt v.
mend v.
mental adj.
merry adj.
mess n./v.
microphone n.
mike n.
microwave n./v.
mighty adj.
minus prep./n./adj.
miracle n.
misery n.
missile n.
missing adj.
mission n.
mist n./v.
mob n./v.
mobile adj.
moist adj.
moisture n.
monk n.
monster n.
monthly adj./adv./n.
moral adj./n.
mosquito n.
mostly adv.
motel n.
moth n.
motor n.
multiply v.
murder n./v.
muscle n.
mushroom n./v.
mystery n.
naked adj.
nap n./v.
napkin n.
native adj./n.
navy n.
neat adj.
necessity n.
necktie n.
neighborhood n.
nest n./v.
nickname n./v.
normal adj.
novelist n.
nun n.
oak n.
observe v.
occasion n.
odd adj.
omit v.
ongoing adj.
onion n.
onto prep.
operation n.
opportunity n.
opposite adj./n./prep./adv.
optimistic adj.
oral adj./n.
organic adj.
organize v.
original adj./n.
outdoor adj.
outdoors adv.
outer adj.
outline n./v.
oven n.
overseas adv./adj.
owe v.
owl n.
ownership n.
ox n.
pad n./v.
painter n.
pal n.
palace n.
palm n.
pancake n.
panic n./v.
parade n./v.
paradise n.
parcel n./v.
parrot n./v.
passage n.
passenger n.
passion n.
passport n.
pat v./n.
patience n.
pause n./v.
pave v.
pavement n.
pea n.
peanut n.
pearl n.
peel v./n.
penguin n.
penny n.
pepper n.
perform v.
performance n.
permission n.
permit v./n.
persuade v.
photographer n.
pigeon n.
pile n./v.
pill n.
pilot n./v.
pine n.
pineapple n.
pint n.
pit n.
pitch n./v.
pity n./v.
plastic n./adj.
playful adj.
plenty pron./n./adv.
plug n./v.
pole n.
political adj.
politician n.
politics n.
poll n./v.
pollute v.
pollution n.
porcelain n.
portion n./v.
portrait n.
poster n.
postpone v.
pottery n.
pour v.
poverty n.
powder n./v.
practical adj.
precious adj.
preparation n.
presence n.
pretend v.
prevent v.
previous adj.
probable adj.
process n./v.
producer n.
product n.
professor n.
profit n./v.
promote v.
pronounce v.
proof n.
property n.
protection n.
pub n.
pump n./v.
punch n./v.
puppet n.
pure adj.
purse n.
queer adj.
quit v.
quote v./n.
racial adj.
rag n.
rank n./v.
rate n./v.
raw adj.
ray n.
razor n.
react v.
reaction n.
reasonable adj.
receipt n.
receiver n.
recognize v.
recorder n.
rectangle n.
reduce v.
regional adj.
regret v./n.
relax v.
release n./v.
reliable adj.
relief n.
religious adj.
rely v.
remain v.
remind v.
remote adj.
replace v.
replacement n.
represent v.
representative adj./n.
republic n.
request n./v.
reserve n./v.
resist v.
resource n.
response n.
responsibility n.
restrict v.
reveal v.
ribbon n.
rid adj./v.
ripe adj.
risk n./v.
roar n./v.
roast adj./n./v.
rob v.
robbery n.
robe n.
rocket n.
romantic adj./n.
rot v./n.
rotten adj.
rough adj./adv./n.
roughly adv.
routine n./adj.
rug n.
rumor n./v.
rush n./v.
rust n./v.
sack n.
sake n.
salary n.
satisfactory adj.
sauce n.
saucer n.
sausage n.
saving n.
scale n.
scarce adj.
scarf n.
scary adj.
scatter v./n.
scholar n.
scholarship n.
scientific adj.
scientist n.
scissors n.
scout n./v.
scream v./n.
screw v./n.
scrub n./v.
seal n./v.
security n.
semester n.
senior adj./n.
sensible adj.
separation n.
sexual adj.
sexy adj.
shadow n./v.
shallow adj.
shampoo n./v.
shepherd n.
shiny adj.
shorten v.
shortly adv.
shovel n./v.
shrimp n.
shrink v.
sigh n./v.
signal n./v.
significant adj.
silk n.
similarity n.
sin n./v.
sincere adj.
sink n./v.
sip v./n.
situation n.
skate v./n.
ski n./v.
skillful adj.
skinny adj.
skip v./n.
slave n./v.
sleeve n.
slender adj.
slice n./v.
slippery adj.
slope n.
snap v./n.
solid adj.
someday adv.
somehow adv.
sometime adv.
sorrow n.
spaghetti n.
specific adj.
spice n./v.
spill v./n.
spin n./v.
spinach n.
spit v./n.
spite n.
splash n./v.
spoil v.
spray n./v.
spy n./v.
squeeze v./n.
squirrel n.
stable adj.
stadium n.
staff n./v.
stale adj.
stare v./n.
starve v.
statue n.
steady adj./v./adv./n.
steal v.
steam n./v.
steep adj.
sticky adj.
stiff adj.
sting n./v.
stir v./n.
stitch n./v.
stomach n.
stool n.
stormy adj.
stove n.
strategy n.
straw n.
strength n.
strip n./v.
structure n.
stubborn adj.
studio n.
stuff n./v.
substance n.
subtract v.
suburb n.
suck v./n.
suffer v.
sufficient adj.
suicide n.
sum n./v.
summary n.
summit n.
superior adj./n.
surround v.
survey n./v.
survivor n.
suspect v./n./adj.
suspicion n.
swan n.
swear v.
sweat n./v.
swell v./n.
swift adj.
sword n.
tablet n.
tag n./v.
tailor n.
talent n.
talkative adj.
tame adj./v.
tangerine n.
tank n.
tap v./n.
tasty adj.
tease v.
technical adj.
technique n.
teenager n.
temper n.
